node_id,node_type
Ekonomia [mgr] [st]Kolegium Nauk Ekonomicznych i Społecznych w Płocku,Kolegium Nauk Ekonomicznych i Społecznych w Płocku
Ekonomia [mgr] [nst-zaocz.]Kolegium Nauk Ekonomicznych i Społecznych w Płocku,Kolegium Nauk Ekonomicznych i Społecznych w Płocku
Administracja [lic] [st]Wydział Administracji i Nauk Społecznych,Wydział Administracji i Nauk Społecznych
Administracja [lic] [nst]Wydział Administracji i Nauk Społecznych,Wydział Administracji i Nauk Społecznych
Administracja [mgr] [st]Wydział Administracji i Nauk Społecznych,Wydział Administracji i Nauk Społecznych
Administracja [mgr] [nst]Wydział Administracji i Nauk Społecznych,Wydział Administracji i Nauk Społecznych
Architektura [mgr] [st]Wydział Architektury,Wydział Architektury
"Budownictwo [inż] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Inżynieria Środowiska [inż] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Mechanika i Budowa Maszyn [inż] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Technologia Chemiczna [inż] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Budownictwo [inż] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Inżynieria Środowiska [inż] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Mechanika i Budowa Maszyn [inż] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Technologia Chemiczna [inż] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Budownictwo [mgr] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Mechanika i Budowa Maszyn [mgr] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Technologia Chemiczna [mgr] [st]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Budownictwo [mgr] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Mechanika i Budowa Maszyn [mgr] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
"Technologia Chemiczna [mgr] [nst-zaocz.]Wydział Budownictwa, Mechaniki i Petrochemii w Płocku","Wydział Budownictwa, Mechaniki i Petrochemii w Płocku"
Biotechnologia [inż] [st]Wydział Chemiczny,Wydział Chemiczny
Technologia Chemiczna [inż] [st]Wydział Chemiczny,Wydział Chemiczny
Technologia Chemiczna - profil praktyczny [inż] [st]Wydział Chemiczny,Wydział Chemiczny
Biotechnologia [mgr] [st]Wydział Chemiczny,Wydział Chemiczny
Technologia Chemiczna [mgr] [st]Wydział Chemiczny,Wydział Chemiczny
Elektronika i Telekomunikacja [inż] [nst-zaocz.]Wydział Elektroniki i Technik Informacyjnych,Wydział Elektroniki i Technik Informacyjnych
Informatyka [mgr] [nst-zaocz.]Wydział Elektroniki i Technik Informacyjnych,Wydział Elektroniki i Technik Informacyjnych
Fizyka Techniczna [inż] [st]Wydział Fizyki,Wydział Fizyki
Fotonika [inż] [st]Wydział Fizyki,Wydział Fizyki
Fizyka Techniczna [mgr] [st]Wydział Fizyki,Wydział Fizyki
Geodezja i Kartografia [inż] [st]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Geoinformatyka [inż] [st]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Gospodarka Przestrzenna [inż] [st]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Geodezja i Kartografia [inż] [nst]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Geodezja i Kartografia [mgr] [st]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Gospodarka Przestrzenna [mgr] [st]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Geodezja i Kartografia [mgr] [nst]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
Gospodarka Przestrzenna [mgr] [nst]Wydział Geodezji i Kartografii,Wydział Geodezji i Kartografii
"Biogospodarka [inż] [st]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Inżynieria Środowiska [inż] [st]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Ochrona Środowiska [inż] [st]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Inżynieria Środowiska [inż] [nst]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Biogospodarka [mgr] [st]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Inżynieria Środowiska [mgr] [st]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Ochrona Środowiska [mgr] [st]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
"Inżynieria Środowiska [mgr] [nst]Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska","Wydział Instalacji Budowlanych, Hydrotechniki i Inżynierii Środowiska"
Inzynieria Chemiczna i Procesowa [inż] [st]Wydział Inżynierii Chemicznej i Procesowej,Wydział Inżynierii Chemicznej i Procesowej
Inzynieria Chemiczna i Procesowa [mgr] [st]Wydział Inżynierii Chemicznej i Procesowej,Wydział Inżynierii Chemicznej i Procesowej
Budownictwo [inż] [st]Wydział Inżynierii Lądowej,Wydział Inżynierii Lądowej
Budownictwo [inż] [nst]Wydział Inżynierii Lądowej,Wydział Inżynierii Lądowej
Budowa i Eksploatacja Infrastruktury Transportu Szynowego [mgr] [st]Wydział Inżynierii Lądowej,Wydział Inżynierii Lądowej
Budownictwo [mgr] [st]Wydział Inżynierii Lądowej,Wydział Inżynierii Lądowej
Budownictwo [mgr] [nst]Wydział Inżynierii Lądowej,Wydział Inżynierii Lądowej
Inżynieria Materiałowa [inż] [st]Wydział Inżynierii Materiałowej,Wydział Inżynierii Materiałowej
Inżynieria Materiałowa [mgr] [st]Wydział Inżynierii Materiałowej,Wydział Inżynierii Materiałowej
Matematyka [lic] [st]Wydział Matematyki i Nauk Informacyjnych,Wydział Matematyki i Nauk Informacyjnych
Matematyka i Analiza Danych [lic] [st]Wydział Matematyki i Nauk Informacyjnych,Wydział Matematyki i Nauk Informacyjnych
Informatyka i Systemy Informacyjne [inż] [st]Wydział Matematyki i Nauk Informacyjnych,Wydział Matematyki i Nauk Informacyjnych
Inżynieria i Analiza Danych [inż] [st]Wydział Matematyki i Nauk Informacyjnych,Wydział Matematyki i Nauk Informacyjnych
Informatyka i Systemy Informacyjne [mgr] [st]Wydział Matematyki i Nauk Informacyjnych,Wydział Matematyki i Nauk Informacyjnych
Matematyka [mgr] [st]Wydział Matematyki i Nauk Informacyjnych,Wydział Matematyki i Nauk Informacyjnych
Automatyka i Robotyka [inż] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Energetyka [inż] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Lotnictwo i Kosmonautyka [inż] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Mechanika i Projektowanie Maszyn [inż] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Mechanika i Projektowanie Maszyn [inż] [nst]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Automatyka i Robotyka [mgr] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Energetyka [mgr] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Lotnictwo i Kosmonautyka [mgr] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Mechanika i Projektowanie Maszyn [mgr] [st]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
Mechanika i Projektowanie Maszyn [mgr] [nst]Wydział Mechaniczny Energetyki i Lotnictwa,Wydział Mechaniczny Energetyki i Lotnictwa
